Case ID,"Overall, how often do you use the internet?",Do you do use social media?,Does social media make you feel more connected to information about what's going on in your friends' lives?,Does social media make you feel worse about your own life because of what you see from other friends on social media?,Does social media make you feel better connected to your friends' feelings?,Does social media make you feel pressure to post content that will be popular and get lots of comments or likes?,Does social media make you feel pressure to only post content that makes you look good to others?,Do you ever experience on social media people posting about things you werent invited to?,Do you ever experience on social media people stirring up drama?,Do you ever experience on social media people posting things about you that you cant change or control?,Do you ever experience on social media people supporting you through challenges or tough times?,People get to show different sides of themselves on social media that they cant show offline,People are less authentic and real on social media than they are offline?,People share too much information about themselves on social media?,Was there anyone in the room who watched or helped you take the survey?,Teen's race/ethnicity,Teen's age,Teen's gender,Do you consider yourself to be transgender?,Household Size,Housing Type,Marital Status,Metro status,Region of country,Own or rent,State,Parent's employment status,Household internet access,household income
295,About once a day,Yes,"Yes, a little",No,No,No,No,No,No,No,"Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",13,Male,"No, not transgender",4,A mobile home,Married,Non-Metro,Midwest,Owned or being bought by you or someone in your household,OH,Working - as a paid employee,Yes,"under $50,000"
298,Less often,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,Hispanic,13,Female,"Yes, female to male",5,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,TX,Not working - disabled,Yes,"under $50,000"
299,About once a day,Yes,"Yes, a little",No,"Yes, a little",No,No,"Yes, occasionally",No,No,"Yes, occasionally",Agree,Agree,Agree,No,Hispanic,14,Male,"No, not transgender",6,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,MO,Working - self-employed,Yes,"$50,000-$99,000"
302,About once a day,Yes,"Yes, a little","Yes, a little","Yes, a little","Yes, a little","Yes, a little","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Agree,Agree,No,"Other, Non-Hispanic",15,Male,"No, not transgender",2,A one-family house detached from any other house,Divorced,Metro,West,Owned or being bought by you or someone in your household,CA,Working - as a paid employee,Yes,"$50,000-$99,000"
303,Almost constantly,Yes,"Yes, a little",No,"Yes, a little",No,No,No,"Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Strongly agree,Strongly agree,No,"White, Non-Hispanic",17,Female,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,NY,Working - self-employed,Yes,"$50,000-$99,000"
306,Several times a day,Yes,"Yes, a lot",No,"Yes, a little","Yes, a little",No,"Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Disagree,Agree,No,"White, Non-Hispanic",16,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,IA,Working - as a paid employee,Yes,"$100,000+"
307,Several times a day,Yes,"Yes, a lot","Yes, a little","Yes, a lot","Yes, a little","Yes, a little","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, frequently",Strongly agree,Strongly agree,Agree,No,"White, Non-Hispanic",13,Female,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,UT,Working - as a paid employee,Yes,"$100,000+"
309,Almost constantly,Yes,"Yes, a little",No,"Yes, a little",No,No,No,No,No,"Yes, occasionally",Agree,Agree,Agree,No,"Black, Non-Hispanic",17,Male,"No, not transgender",3,A one-family house detached from any other house,Never married,Metro,Midwest,Owned or being bought by you or someone in your household,MI,Working - as a paid employee,Yes,"$50,000-$99,000"
311,Several times a day,Yes,"Yes, a lot",No,"Yes, a little","Yes, a little","Yes, a little",No,"Yes, frequently",No,"Yes, occasionally",Agree,Agree,Strongly agree,No,"Black, Non-Hispanic",14,Female,"No, not transgender",4,A building with 2 or more apartments,Married,Metro,Northeast,Rented for cash,NY,Working - as a paid employee,Yes,"$50,000-$99,000"
312,Almost constantly,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"Black, Non-Hispanic",13,Female,"No, not transgender",6,A one-family house detached from any other house,Married,Non-Metro,South,Owned or being bought by you or someone in your household,MS,Not working - looking for work,Yes,"$50,000-$99,000"
313,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,Hispanic,15,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,West,Rented for cash,CA,Not working - other,Yes,"$50,000-$99,000"
315,Several times a day,Yes,"Yes, a little",No,No,"Yes, a little","Yes, a lot","Yes, occasionally","Yes, frequently",No,"Yes, frequently",Strongly agree,Strongly agree,Strongly agree,No,Hispanic,14,Male,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,FL,Not working - other,Yes,"under $50,000"
316,Several times a day,Yes,"Yes, a lot",No,"Yes, a lot",No,No,"Yes, occasionally","Yes, occasionally",No,"Yes, occasionally",Agree,Agree,Agree,No,"2+ Races, Non-Hispanic",16,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,ID,Working - as a paid employee,Yes,"under $50,000"
318,Several times a day,Yes,No,No,No,No,No,No,"Yes, frequently",No,"Yes, occasionally",Agree,Agree,Strongly agree,No,"White, Non-Hispanic",14,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,OR,Not working - disabled,Yes,"under $50,000"
319,Almost constantly,Yes,"Yes, a lot",No,"Yes, a lot","Yes, a little","Yes, a little","Yes, occasionally","Yes, frequently",No,"Yes, occasionally",Agree,Strongly agree,Strongly agree,No,"Black, Non-Hispanic",16,Female,"No, not transgender",3,A building with 2 or more apartments,Divorced,Metro,Midwest,Rented for cash,WI,Working - as a paid employee,Yes,"under $50,000"
323,Several times a day,Yes,"Yes, a little",No,No,No,No,"Yes, occasionally","Yes, frequently",No,No,Strongly agree,Strongly agree,Strongly agree,No,"White, Non-Hispanic",17,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,UT,Working - self-employed,Yes,"under $50,000"
324,Several times a day,Yes,No,No,"Yes, a little",No,No,No,No,No,"Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",17,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,VA,Not working - retired,Yes,"$50,000-$99,000"
327,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",17,Female,"No, not transgender",10,A one-family house detached from any other house,Married,Non-Metro,Midwest,Owned or being bought by you or someone in your household,MN,Not working - other,Yes,"$50,000-$99,000"
328,Several times a day,Yes,No,No,No,No,No,No,No,No,No,Disagree,Agree,Strongly agree,No,"White, Non-Hispanic",15,Female,"No, not transgender",7,A one-family house detached from any other house,Married,Non-Metro,Midwest,Owned or being bought by you or someone in your household,OH,Working - as a paid employee,Yes,"$50,000-$99,000"
330,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",13,Male,Refused,4,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,OR,Working - as a paid employee,Yes,"under $50,000"
332,Several times a week,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"2+ Races, Non-Hispanic",13,Male,"No, not transgender",6,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,CO,Working - as a paid employee,Yes,"$100,000+"
333,Almost constantly,Yes,"Yes, a little",No,"Yes, a little",No,"Yes, a little",No,"Yes, occasionally",No,"Yes, occasionally",Agree,Strongly agree,Agree,No,"White, Non-Hispanic",14,Female,Refused,4,A one-family house detached from any other house,Living with partner,Non-Metro,West,Owned or being bought by you or someone in your household,MT,Working - as a paid employee,Yes,"$50,000-$99,000"
334,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,Hispanic,17,Male,"No, not transgender",6,A building with 2 or more apartments,Married,Metro,West,Owned or being bought by you or someone in your household,CA,Not working - looking for work,Yes,"$50,000-$99,000"
338,Several times a day,Yes,"Yes, a little","Yes, a little","Yes, a little","Yes, a little","Yes, a little","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",17,Female,"No, not transgender",5,A one-family house detached from any other house,Living with partner,Metro,Midwest,Owned or being bought by you or someone in your household,MO,Working - as a paid employee,Yes,"under $50,000"
339,About once a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"Other, Non-Hispanic",13,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,ID,Working - as a paid employee,Yes,"$50,000-$99,000"
340,Several times a day,Yes,"Yes, a lot",No,"Yes, a little",No,No,"Yes, occasionally","Yes, frequently","Yes, occasionally","Yes, occasionally",Agree,Agree,Agree,No,"2+ Races, Non-Hispanic",17,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,CA,Working - as a paid employee,Yes,"$50,000-$99,000"
342,Almost constantly,Yes,"Yes, a little",No,"Yes, a little","Yes, a little",No,No,No,No,No,Agree,Disagree,Strongly agree,No,Hispanic,16,Male,Refused,4,A one-family house attached to one or more houses,Married,Metro,West,Rented for cash,CA,Working - as a paid employee,Yes,"under $50,000"
349,Almost constantly,Yes,"Yes, a little","Yes, a little","Yes, a lot",No,No,"Yes, occasionally","Yes, occasionally",No,"Yes, occasionally",Disagree,Agree,Strongly agree,No,Hispanic,16,Female,"No, not transgender",5,A one-family house attached to one or more houses,Married,Metro,South,Owned or being bought by you or someone in your household,TX,Not working - other,Yes,"under $50,000"
350,About once a day,Yes,No,No,"Yes, a little",No,"Yes, a little",No,"Yes, occasionally","Yes, occasionally",No,Agree,Agree,Agree,No,"Other, Non-Hispanic",17,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,CA,Working - as a paid employee,Yes,"$100,000+"
351,About once a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,Hispanic,14,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Occupied without payment of cash rent,TX,Working - as a paid employee,Yes,"under $50,000"
354,Almost constantly,Yes,No,No,"Yes, a little",No,No,No,No,No,No,Agree,Agree,Strongly agree,No,"White, Non-Hispanic",13,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Non-Metro,South,Owned or being bought by you or someone in your household,AR,Working - as a paid employee,Yes,"$50,000-$99,000"
355,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"Black, Non-Hispanic",14,Female,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,DE,Not working - other,Yes,"$100,000+"
359,About once a day,Yes,"Yes, a lot","Yes, a lot","Yes, a lot","Yes, a lot","Yes, a little","Yes, occasionally",No,No,"Yes, frequently",Agree,Strongly agree,Agree,No,Hispanic,16,Male,"Yes, gender non-conforming",4,A building with 2 or more apartments,Married,Metro,West,Occupied without payment of cash rent,CA,Working - as a paid employee,Yes,"$50,000-$99,000"
361,About once a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"Other, Non-Hispanic",15,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Non-Metro,West,Owned or being bought by you or someone in your household,OR,Working - as a paid employee,Yes,"$100,000+"
362,Several times a day,Yes,"Yes, a little","Yes, a little","Yes, a little","Yes, a little","Yes, a little","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Agree,Agree,No,"2+ Races, Non-Hispanic",15,Female,"No, not transgender",3,A one-family house detached from any other house,Living with partner,Metro,Midwest,Owned or being bought by you or someone in your household,OH,Working - as a paid employee,Yes,"under $50,000"
364,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,Hispanic,17,Female,"No, not transgender",3,A building with 2 or more apartments,Divorced,Metro,South,Rented for cash,TX,Not working - disabled,Yes,"under $50,000"
365,Almost constantly,Yes,"Yes, a little",No,"Yes, a lot",No,No,"Yes, frequently","Yes, frequently",No,"Yes, occasionally",Strongly agree,Agree,Strongly agree,No,"2+ Races, Non-Hispanic",17,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Non-Metro,South,Rented for cash,OK,Not working - looking for work,Yes,"under $50,000"
367,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",13,Male,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,CA,Working - as a paid employee,Yes,"$100,000+"
369,Almost constantly,Yes,"Yes, a little",No,"Yes, a little",No,"Yes, a little",No,No,No,"Yes, occasionally",Agree,Agree,Strongly agree,No,"2+ Races, Non-Hispanic",14,Male,"No, not transgender",5,A one-family house attached to one or more houses,Married,Metro,West,Rented for cash,CA,Working - self-employed,Yes,"$50,000-$99,000"
372,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",14,Male,"No, not transgender",6,A one-family house detached from any other house,Married,Metro,West,Rented for cash,AZ,Not working - disabled,Yes,"under $50,000"
375,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,No,No,"Yes, occasionally",Agree,Strongly agree,Strongly agree,No,"White, Non-Hispanic",16,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Non-Metro,Midwest,Owned or being bought by you or someone in your household,NE,Working - as a paid employee,Yes,"under $50,000"
376,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",13,Male,"No, not transgender",3,A one-family house detached from any other house,Separated,Metro,West,Rented for cash,CA,Working - as a paid employee,Yes,"$100,000+"
381,About once a day,Yes,No,"Yes, a lot","Yes, a lot",No,"Yes, a little","Yes, occasionally",No,"Yes, occasionally","Yes, frequently",Disagree,Disagree,Disagree,No,Hispanic,17,Female,"No, not transgender",6,A building with 2 or more apartments,Divorced,Metro,South,Rented for cash,FL,Working - self-employed,Yes,"under $50,000"
382,Several times a day,Yes,"Yes, a lot",No,"Yes, a little","Yes, a little",No,"Yes, occasionally","Yes, frequently","Yes, occasionally","Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",17,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,FL,Not working - retired,Yes,"$50,000-$99,000"
384,Several times a day,Yes,"Yes, a lot","Yes, a lot","Yes, a little","Yes, a little","Yes, a little","Yes, frequently","Yes, frequently",No,"Yes, occasionally",Agree,Strongly agree,Agree,No,"White, Non-Hispanic",17,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,VA,Working - as a paid employee,Yes,"$50,000-$99,000"
385,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,"Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Agree,Strongly agree,No,"White, Non-Hispanic",17,Female,"No, not transgender",3,A building with 2 or more apartments,Divorced,Metro,Northeast,Rented for cash,NY,Working - as a paid employee,Yes,"under $50,000"
390,Almost constantly,Yes,"Yes, a little",No,No,No,No,"Yes, frequently","Yes, frequently","Yes, frequently",No,Agree,Agree,Strongly agree,No,"Other, Non-Hispanic",17,Female,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,CT,Working - as a paid employee,Yes,"$100,000+"
392,Several times a day,Yes,"Yes, a little",No,"Yes, a little","Yes, a little",No,"Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Strongly agree,Strongly agree,No,"White, Non-Hispanic",16,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Non-Metro,Midwest,Owned or being bought by you or someone in your household,KS,Working - as a paid employee,Yes,"$50,000-$99,000"
394,Several times a day,Yes,"Yes, a little",No,No,"Yes, a little","Yes, a little",No,No,No,"Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",15,Female,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,OH,Working - as a paid employee,Yes,"$100,000+"
396,Almost constantly,Yes,"Yes, a lot","Yes, a little","Yes, a lot","Yes, a little",No,"Yes, occasionally","Yes, frequently","Yes, frequently","Yes, frequently",Strongly agree,Agree,Agree,No,"White, Non-Hispanic",15,Female,"No, not transgender",7,A building with 2 or more apartments,Living with partner,Metro,West,Rented for cash,CA,Not working - disabled,Yes,"$100,000+"
398,Almost constantly,Yes,"Yes, a little",No,"Yes, a little","Yes, a little",No,No,"Yes, occasionally",No,"Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",14,Female,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,MO,Working - as a paid employee,Yes,"$50,000-$99,000"
399,Almost constantly,Yes,"Yes, a lot",No,"Yes, a lot","Yes, a lot","Yes, a little","Yes, occasionally","Yes, frequently","Yes, occasionally","Yes, occasionally",Strongly agree,Strongly agree,Strongly agree,No,"White, Non-Hispanic",17,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,GA,Working - as a paid employee,Yes,"$50,000-$99,000"
400,Almost constantly,Yes,"Yes, a little","Yes, a little",No,"Yes, a little","Yes, a little","Yes, occasionally","Yes, frequently","Yes, occasionally","Yes, occasionally",Agree,Agree,Strongly agree,No,"White, Non-Hispanic",15,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Occupied without payment of cash rent,TN,Working - self-employed,Yes,"under $50,000"
404,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",15,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,GA,Working - as a paid employee,Yes,"$50,000-$99,000"
405,Almost constantly,Yes,No,No,"Yes, a little",No,No,"Yes, occasionally","Yes, frequently",No,No,Agree,Strongly agree,Strongly agree,No,Hispanic,17,Female,"No, not transgender",7,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,CA,Working - as a paid employee,Yes,"$100,000+"
406,Several times a day,Yes,"Yes, a little",No,No,No,"Yes, a little",No,"Yes, frequently",No,No,Disagree,Strongly agree,Agree,Yes,"White, Non-Hispanic",14,Female,"No, not transgender",6,A one-family house detached from any other house,Married,Metro,Northeast,Rented for cash,MA,Not working - disabled,Yes,"under $50,000"
408,Several times a day,Yes,"Yes, a little",No,No,No,No,No,No,No,No,Agree,Agree,Agree,No,Hispanic,17,Male,Refused,6,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,TX,Working - as a paid employee,Yes,"under $50,000"
409,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",14,Female,"No, not transgender",2,A building with 2 or more apartments,Never married,Metro,Northeast,Rented for cash,RI,Working - as a paid employee,Yes,"under $50,000"
410,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",14,Male,"No, not transgender",8,A one-family house detached from any other house,Widowed,Non-Metro,South,Owned or being bought by you or someone in your household,KY,Not working - looking for work,Yes,"under $50,000"
417,Almost constantly,Yes,"Yes, a little",No,No,No,No,No,No,No,No,Agree,Disagree,Agree,No,"White, Non-Hispanic",15,Male,"No, not transgender",6,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,GA,Not working - other,Yes,"under $50,000"
421,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",13,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,FL,Not working - looking for work,Yes,"$50,000-$99,000"
422,About once a day,Yes,"Yes, a lot","Yes, a little","Yes, a lot",No,No,"Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Strongly agree,Strongly agree,Strongly agree,No,Hispanic,16,Female,"No, not transgender",4,A one-family house detached from any other house,Widowed,Metro,South,Rented for cash,FL,Not working - other,Yes,"under $50,000"
424,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"Other, Non-Hispanic",15,Female,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,MA,Not working - retired,Yes,"$100,000+"
425,Several times a day,Yes,"Yes, a little","Yes, a little","Yes, a little",No,No,"Yes, occasionally",No,No,No,Agree,Agree,Agree,No,"White, Non-Hispanic",15,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,WI,Working - as a paid employee,Yes,"$100,000+"
427,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,"Yes, occasionally","Yes, occasionally",No,Agree,Disagree,Agree,No,"White, Non-Hispanic",15,Female,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,PA,Working - as a paid employee,Yes,"$100,000+"
429,Several times a day,Yes,No,No,"Yes, a lot",No,No,No,"Yes, occasionally",No,"Yes, frequently",Strongly agree,Strongly agree,Strongly agree,Yes,"White, Non-Hispanic",13,Male,"No, not transgender",5,A one-family house detached from any other house,Living with partner,Metro,South,Rented for cash,FL,Not working - disabled,Yes,"under $50,000"
430,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,"Yes, occasionally",No,"Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",17,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,AL,Working - self-employed,Yes,"$50,000-$99,000"
433,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",17,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,MA,Working - as a paid employee,Yes,"$50,000-$99,000"
435,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",13,Female,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,OH,Working - as a paid employee,Yes,"$50,000-$99,000"
438,Almost constantly,Yes,"Yes, a little",No,"Yes, a little",No,No,"Yes, occasionally",No,No,No,Disagree,Agree,Strongly agree,No,Hispanic,17,Female,"No, not transgender",3,"Boat, RV, van, etc.",Married,Metro,Northeast,Owned or being bought by you or someone in your household,PA,Not working - other,Yes,"under $50,000"
439,Almost constantly,Yes,"Yes, a little","Yes, a little","Yes, a little","Yes, a little",No,"Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",16,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,AR,Working - as a paid employee,Yes,"$50,000-$99,000"
441,Several times a day,Yes,"Yes, a little",No,"Yes, a lot","Yes, a little","Yes, a little","Yes, occasionally","Yes, occasionally",No,"Yes, frequently",Agree,Agree,Agree,No,"White, Non-Hispanic",14,Female,"No, not transgender",5,A one-family house detached from any other house,Married,Non-Metro,Midwest,Owned or being bought by you or someone in your household,MI,Working - as a paid employee,Yes,"$100,000+"
442,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",13,Male,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,South,Rented for cash,FL,Working - as a paid employee,Yes,"$50,000-$99,000"
444,Several times a day,Yes,"Yes, a lot",No,"Yes, a little","Yes, a little","Yes, a little","Yes, occasionally","Yes, frequently","Yes, occasionally","Yes, occasionally",Disagree,Strongly agree,Strongly agree,No,"White, Non-Hispanic",14,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,CA,Working - as a paid employee,Yes,"$50,000-$99,000"
445,About once a day,Yes,No,No,No,No,No,"Yes, occasionally",No,"Yes, occasionally",No,Disagree,Strongly disagree,Strongly disagree,No,"Other, Non-Hispanic",16,Female,"Yes, female to male",5,A one-family house detached from any other house,Married,Non-Metro,Northeast,Owned or being bought by you or someone in your household,NY,Working - as a paid employee,Yes,"$50,000-$99,000"
448,About once a day,Yes,"Yes, a little",No,"Yes, a little","Yes, a little",No,"Yes, occasionally","Yes, occasionally",No,No,Agree,Agree,Agree,No,"White, Non-Hispanic",16,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,MO,Working - as a paid employee,Yes,"$50,000-$99,000"
452,Almost constantly,Yes,"Yes, a lot","Yes, a lot",No,"Yes, a little","Yes, a lot",No,"Yes, occasionally",No,"Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",13,Female,"No, not transgender",7,A one-family house detached from any other house,Married,Metro,South,Rented for cash,GA,Not working - other,Yes,"under $50,000"
454,Several times a week,Yes,"Yes, a little",No,No,No,No,No,"Yes, occasionally",No,No,Disagree,Agree,Disagree,No,"White, Non-Hispanic",14,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Non-Metro,Midwest,Owned or being bought by you or someone in your household,MN,Working - as a paid employee,Yes,"$100,000+"
