Case ID,"Overall, how often do you use the internet?",Use social media-Do you do any of the following online or on your cellphone?,More connected to information about what's going on in your friends' lives?-Does social media make you feel,Worse about your own life because of what you see from other friends on social media?-Does social media make you feel,Better connected to your friends' feelings?-Does social media make you feel,Pressure to post content that will be popular and get lots of comments or likes-Does social media make you feel,Pressure to only post content that makes you look good to others?-Does social media make you feel,People posting about things you werent invited to?- Do you ever experience on social media,People stirring up drama?-Do you ever experience on social media,People posting things about you that you cant change or control?-Do you ever experience on social media,People supporting you through challenges or tough times?-Do you ever experience on social media,People get to show different sides of themselves on social media that they cant show offline,People are less authentic and real on social media than they are offline?,People share too much information about themselves on social media?,Was there anyone in the room who watched or helped you take the survey?,Teen's race/ethnicity,Teen's age,Teen's gender,Do you consider yourself to be transgender?,Household Size,Housing Type,Marital Status,Metro status,Region of country,Own or rent,State,Parent's employment status,Household internet access,household income
362,Several times a day,Yes,"Yes, a little","Yes, a little","Yes, a little","Yes, a little","Yes, a little","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Agree,Agree,No,"2+ Races, Non-Hispanic",15,Female,"No, not transgender",3,A one-family house detached from any other house,Living with partner,Metro,Midwest,Owned or being bought by you or someone in your household,OH,Working - as a paid employee,Yes,"$30-49,999"
364,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,Hispanic,17,Female,"No, not transgender",3,A building with 2 or more apartments,Divorced,Metro,South,Rented for cash,TX,Not working - disabled,Yes,"under $30,000"
365,Almost constantly,Yes,"Yes, a little",No,"Yes, a lot",No,No,"Yes, frequently","Yes, frequently",No,"Yes, occasionally",Strongly agree,Agree,Strongly agree,No,"2+ Races, Non-Hispanic",17,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Non-Metro,South,Rented for cash,OK,Not working - looking for work,Yes,"under $30,000"
367,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",13,Male,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,CA,Working - as a paid employee,Yes,"$125,000+"
369,Almost constantly,Yes,"Yes, a little",No,"Yes, a little",No,"Yes, a little",No,No,No,"Yes, occasionally",Agree,Agree,Strongly agree,No,"2+ Races, Non-Hispanic",14,Male,"No, not transgender",5,A one-family house attached to one or more houses,Married,Metro,West,Rented for cash,CA,Working - self-employed,Yes,"$75,000-$124,999"
372,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",14,Male,"No, not transgender",6,A one-family house detached from any other house,Married,Metro,West,Rented for cash,AZ,Not working - disabled,Yes,"under $30,000"
375,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,No,No,"Yes, occasionally",Agree,Strongly agree,Strongly agree,No,"White, Non-Hispanic",16,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Non-Metro,Midwest,Owned or being bought by you or someone in your household,NE,Working - as a paid employee,Yes,"under $30,000"
376,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",13,Male,"No, not transgender",3,A one-family house detached from any other house,Separated,Metro,West,Rented for cash,CA,Working - as a paid employee,Yes,"$75,000-$124,999"
381,About once a day,Yes,No,"Yes, a lot","Yes, a lot",No,"Yes, a little","Yes, occasionally",No,"Yes, occasionally","Yes, frequently",Disagree,Disagree,Disagree,No,Hispanic,17,Female,"No, not transgender",6,A building with 2 or more apartments,Divorced,Metro,South,Rented for cash,FL,Working - self-employed,Yes,"under $30,000"
382,Several times a day,Yes,"Yes, a lot",No,"Yes, a little","Yes, a little",No,"Yes, occasionally","Yes, frequently","Yes, occasionally","Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",17,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,FL,Not working - retired,Yes,"50,000-$74,999"
384,Several times a day,Yes,"Yes, a lot","Yes, a lot","Yes, a little","Yes, a little","Yes, a little","Yes, frequently","Yes, frequently",No,"Yes, occasionally",Agree,Strongly agree,Agree,No,"White, Non-Hispanic",17,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,VA,Working - as a paid employee,Yes,"$75,000-$124,999"
385,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,"Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Agree,Strongly agree,No,"White, Non-Hispanic",17,Female,"No, not transgender",3,A building with 2 or more apartments,Divorced,Metro,Northeast,Rented for cash,NY,Working - as a paid employee,Yes,"$30-49,999"
390,Almost constantly,Yes,"Yes, a little",No,No,No,No,"Yes, frequently","Yes, frequently","Yes, frequently",No,Agree,Agree,Strongly agree,No,"Other, Non-Hispanic",17,Female,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,CT,Working - as a paid employee,Yes,"$125,000+"
392,Several times a day,Yes,"Yes, a little",No,"Yes, a little","Yes, a little",No,"Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Strongly agree,Strongly agree,No,"White, Non-Hispanic",16,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Non-Metro,Midwest,Owned or being bought by you or someone in your household,KS,Working - as a paid employee,Yes,"50,000-$74,999"
394,Several times a day,Yes,"Yes, a little",No,No,"Yes, a little","Yes, a little",No,No,No,"Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",15,Female,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,OH,Working - as a paid employee,Yes,"$75,000-$124,999"
396,Almost constantly,Yes,"Yes, a lot","Yes, a little","Yes, a lot","Yes, a little",No,"Yes, occasionally","Yes, frequently","Yes, frequently","Yes, frequently",Strongly agree,Agree,Agree,No,"White, Non-Hispanic",15,Female,"No, not transgender",7,A building with 2 or more apartments,Living with partner,Metro,West,Rented for cash,CA,Not working - disabled,Yes,"$125,000+"
398,Almost constantly,Yes,"Yes, a little",No,"Yes, a little","Yes, a little",No,No,"Yes, occasionally",No,"Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",14,Female,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,MO,Working - as a paid employee,Yes,"$75,000-$124,999"
399,Almost constantly,Yes,"Yes, a lot",No,"Yes, a lot","Yes, a lot","Yes, a little","Yes, occasionally","Yes, frequently","Yes, occasionally","Yes, occasionally",Strongly agree,Strongly agree,Strongly agree,No,"White, Non-Hispanic",17,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,GA,Working - as a paid employee,Yes,"$75,000-$124,999"
400,Almost constantly,Yes,"Yes, a little","Yes, a little",No,"Yes, a little","Yes, a little","Yes, occasionally","Yes, frequently","Yes, occasionally","Yes, occasionally",Agree,Agree,Strongly agree,No,"White, Non-Hispanic",15,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Occupied without payment of cash rent,TN,Working - self-employed,Yes,"under $30,000"
404,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",15,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,GA,Working - as a paid employee,Yes,"$75,000-$124,999"
405,Almost constantly,Yes,No,No,"Yes, a little",No,No,"Yes, occasionally","Yes, frequently",No,No,Agree,Strongly agree,Strongly agree,No,Hispanic,17,Female,"No, not transgender",7,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,CA,Working - as a paid employee,Yes,"$75,000-$124,999"
406,Several times a day,Yes,"Yes, a little",No,No,No,"Yes, a little",No,"Yes, frequently",No,No,Disagree,Strongly agree,Agree,Yes,"White, Non-Hispanic",14,Female,"No, not transgender",6,A one-family house detached from any other house,Married,Metro,Northeast,Rented for cash,MA,Not working - disabled,Yes,"under $30,000"
408,Several times a day,Yes,"Yes, a little",No,No,No,No,No,No,No,No,Agree,Agree,Agree,No,Hispanic,17,Male,Refused,6,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,TX,Working - as a paid employee,Yes,"$30-49,999"
409,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",14,Female,"No, not transgender",2,A building with 2 or more apartments,Never married,Metro,Northeast,Rented for cash,RI,Working - as a paid employee,Yes,"under $30,000"
410,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",14,Male,"No, not transgender",8,A one-family house detached from any other house,Widowed,Non-Metro,South,Owned or being bought by you or someone in your household,KY,Not working - looking for work,Yes,"under $30,000"
417,Almost constantly,Yes,"Yes, a little",No,No,No,No,No,No,No,No,Agree,Disagree,Agree,No,"White, Non-Hispanic",15,Male,"No, not transgender",6,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,GA,Not working - other,Yes,"$30-49,999"
421,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",13,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,FL,Not working - looking for work,Yes,"50,000-$74,999"
422,About once a day,Yes,"Yes, a lot","Yes, a little","Yes, a lot",No,No,"Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Strongly agree,Strongly agree,Strongly agree,No,Hispanic,16,Female,"No, not transgender",4,A one-family house detached from any other house,Widowed,Metro,South,Rented for cash,FL,Not working - other,Yes,"under $30,000"
424,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"Other, Non-Hispanic",15,Female,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,MA,Not working - retired,Yes,"$125,000+"
425,Several times a day,Yes,"Yes, a little","Yes, a little","Yes, a little",No,No,"Yes, occasionally",No,No,No,Agree,Agree,Agree,No,"White, Non-Hispanic",15,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,WI,Working - as a paid employee,Yes,"$75,000-$124,999"
427,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,"Yes, occasionally","Yes, occasionally",No,Agree,Disagree,Agree,No,"White, Non-Hispanic",15,Female,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,PA,Working - as a paid employee,Yes,"$75,000-$124,999"
429,Several times a day,Yes,No,No,"Yes, a lot",No,No,No,"Yes, occasionally",No,"Yes, frequently",Strongly agree,Strongly agree,Strongly agree,Yes,"White, Non-Hispanic",13,Male,"No, not transgender",5,A one-family house detached from any other house,Living with partner,Metro,South,Rented for cash,FL,Not working - disabled,Yes,"$30-49,999"
430,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,"Yes, occasionally",No,"Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",17,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,AL,Working - self-employed,Yes,"$75,000-$124,999"
433,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",17,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,MA,Working - as a paid employee,Yes,"50,000-$74,999"
435,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",13,Female,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,OH,Working - as a paid employee,Yes,"50,000-$74,999"
438,Almost constantly,Yes,"Yes, a little",No,"Yes, a little",No,No,"Yes, occasionally",No,No,No,Disagree,Agree,Strongly agree,No,Hispanic,17,Female,"No, not transgender",3,"Boat, RV, van, etc.",Married,Metro,Northeast,Owned or being bought by you or someone in your household,PA,Not working - other,Yes,"$30-49,999"
439,Almost constantly,Yes,"Yes, a little","Yes, a little","Yes, a little","Yes, a little",No,"Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",16,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,AR,Working - as a paid employee,Yes,"50,000-$74,999"
441,Several times a day,Yes,"Yes, a little",No,"Yes, a lot","Yes, a little","Yes, a little","Yes, occasionally","Yes, occasionally",No,"Yes, frequently",Agree,Agree,Agree,No,"White, Non-Hispanic",14,Female,"No, not transgender",5,A one-family house detached from any other house,Married,Non-Metro,Midwest,Owned or being bought by you or someone in your household,MI,Working - as a paid employee,Yes,"$75,000-$124,999"
442,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",13,Male,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,South,Rented for cash,FL,Working - as a paid employee,Yes,"50,000-$74,999"
444,Several times a day,Yes,"Yes, a lot",No,"Yes, a little","Yes, a little","Yes, a little","Yes, occasionally","Yes, frequently","Yes, occasionally","Yes, occasionally",Disagree,Strongly agree,Strongly agree,No,"White, Non-Hispanic",14,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,CA,Working - as a paid employee,Yes,"$75,000-$124,999"
445,About once a day,Yes,No,No,No,No,No,"Yes, occasionally",No,"Yes, occasionally",No,Disagree,Strongly disagree,Strongly disagree,No,"Other, Non-Hispanic",16,Female,"Yes, female to male",5,A one-family house detached from any other house,Married,Non-Metro,Northeast,Owned or being bought by you or someone in your household,NY,Working - as a paid employee,Yes,"$75,000-$124,999"
448,About once a day,Yes,"Yes, a little",No,"Yes, a little","Yes, a little",No,"Yes, occasionally","Yes, occasionally",No,No,Agree,Agree,Agree,No,"White, Non-Hispanic",16,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,MO,Working - as a paid employee,Yes,"$75,000-$124,999"
452,Almost constantly,Yes,"Yes, a lot","Yes, a lot",No,"Yes, a little","Yes, a lot",No,"Yes, occasionally",No,"Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",13,Female,"No, not transgender",7,A one-family house detached from any other house,Married,Metro,South,Rented for cash,GA,Not working - other,Yes,"under $30,000"
454,Several times a week,Yes,"Yes, a little",No,No,No,No,No,"Yes, occasionally",No,No,Disagree,Agree,Disagree,No,"White, Non-Hispanic",14,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Non-Metro,Midwest,Owned or being bought by you or someone in your household,MN,Working - as a paid employee,Yes,"$75,000-$124,999"
455,Several times a day,Yes,"Yes, a lot","Yes, a little","Yes, a little",No,No,"Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Agree,Strongly agree,No,"White, Non-Hispanic",17,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,CT,Working - as a paid employee,Yes,"$125,000+"
457,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,No,No,"Yes, occasionally",Agree,Agree,Agree,Yes,Hispanic,13,Female,"No, not transgender",5,A one-family house detached from any other house,Separated,Non-Metro,South,Owned or being bought by you or someone in your household,TX,Working - as a paid employee,Yes,"under $30,000"
458,Several times a day,Yes,"Yes, a lot","Yes, a little","Yes, a lot","Yes, a little","Yes, a little","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, frequently",Agree,Agree,Agree,No,"White, Non-Hispanic",17,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,UT,Working - as a paid employee,Yes,"$30-49,999"
459,Several times a day,Yes,No,No,No,No,No,"Yes, occasionally","Yes, occasionally",No,"Yes, occasionally",Strongly agree,Strongly agree,Strongly agree,No,"White, Non-Hispanic",14,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Non-Metro,Northeast,Owned or being bought by you or someone in your household,PA,Not working - on temporary layoff from a job,Yes,"50,000-$74,999"
462,Several times a day,Yes,No,No,"Yes, a little","Yes, a little",No,"Yes, frequently","Yes, occasionally","Yes, frequently","Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",13,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,NJ,Working - as a paid employee,Yes,"$75,000-$124,999"
463,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",13,Female,"No, not transgender",5,A one-family house attached to one or more houses,Married,Metro,Northeast,Owned or being bought by you or someone in your household,PA,Not working - other,Yes,"50,000-$74,999"
464,Almost constantly,Yes,"Yes, a lot",No,"Yes, a little",No,No,"Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, frequently",Agree,Agree,Agree,No,"White, Non-Hispanic",16,Female,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,KS,Not working - looking for work,Yes,"$125,000+"
467,Several times a day,Yes,"Yes, a little",No,"Yes, a little","Yes, a little",No,"Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",17,Female,"No, not transgender",3,A one-family house detached from any other house,Divorced,Metro,South,Owned or being bought by you or someone in your household,FL,Working - as a paid employee,Yes,"under $30,000"
468,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,"Yes, frequently","Yes, occasionally","Yes, occasionally",Agree,Agree,Strongly agree,No,"White, Non-Hispanic",16,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,CT,Working - as a paid employee,Yes,"$125,000+"
470,Almost constantly,Yes,"Yes, a lot",No,No,"Yes, a little",No,No,"Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Disagree,Disagree,No,"2+ Races, Non-Hispanic",13,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,RI,Working - as a paid employee,Yes,"50,000-$74,999"
471,Several times a day,Yes,"Yes, a lot",No,"Yes, a little",No,"Yes, a little","Yes, frequently","Yes, occasionally",No,No,Disagree,Agree,Agree,Yes,"2+ Races, Non-Hispanic",14,Female,"No, not transgender",4,A one-family house attached to one or more houses,Married,Metro,Northeast,Owned or being bought by you or someone in your household,PA,Working - as a paid employee,Yes,"$30-49,999"
472,About once a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",13,Male,"No, not transgender",3,A one-family house detached from any other house,Divorced,Metro,Midwest,Owned or being bought by you or someone in your household,OH,Working - as a paid employee,Yes,"$75,000-$124,999"
473,Almost constantly,Yes,"Yes, a lot","Yes, a little","Yes, a lot","Yes, a lot","Yes, a lot","Yes, frequently","Yes, frequently","Yes, frequently","Yes, frequently",Strongly agree,Strongly agree,Strongly agree,No,"White, Non-Hispanic",16,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,VA,Working - as a paid employee,Yes,"50,000-$74,999"
474,Several times a day,Yes,"Yes, a lot","Yes, a lot","Yes, a lot","Yes, a lot","Yes, a lot","Yes, occasionally","Yes, frequently","Yes, frequently","Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",13,Female,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,TN,Not working - other,Yes,"$75,000-$124,999"
477,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,"Yes, occasionally",No,"Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",14,Female,"No, not transgender",7,A one-family house attached to one or more houses,Married,Metro,Northeast,Rented for cash,PA,Working - as a paid employee,Yes,"50,000-$74,999"
479,Several times a day,Yes,"Yes, a little","Yes, a little",No,No,"Yes, a little",No,"Yes, occasionally","Yes, occasionally","Yes, occasionally",Strongly agree,Agree,Agree,No,"White, Non-Hispanic",15,Female,"No, not transgender",8,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,OH,Working - as a paid employee,Yes,"$75,000-$124,999"
480,Almost constantly,Yes,"Yes, a little",No,"Yes, a little",No,No,No,"Yes, occasionally",No,"Yes, occasionally",Agree,Strongly disagree,Agree,No,"Other, Non-Hispanic",15,Female,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,South,Rented for cash,LA,Working - as a paid employee,Yes,"$75,000-$124,999"
481,Several times a day,Yes,No,No,No,No,No,No,No,No,No,Disagree,Disagree,Disagree,No,"White, Non-Hispanic",13,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,MN,Working - as a paid employee,Yes,"50,000-$74,999"
482,Several times a day,Yes,"Yes, a lot","Yes, a little","Yes, a lot","Yes, a lot","Yes, a little","Yes, occasionally","Yes, frequently","Yes, occasionally","Yes, frequently",Agree,Agree,Strongly agree,No,"White, Non-Hispanic",17,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,LA,Working - self-employed,Yes,"50,000-$74,999"
486,Almost constantly,Yes,No,No,No,No,No,"Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, frequently",Strongly agree,Strongly agree,Strongly agree,No,"White, Non-Hispanic",14,Female,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,CO,Working - as a paid employee,Yes,"50,000-$74,999"
487,Less often,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",16,Male,"No, not transgender",10,A one-family house detached from any other house,Married,Non-Metro,South,Owned or being bought by you or someone in your household,TX,Working - as a paid employee,Yes,"50,000-$74,999"
488,Almost constantly,Yes,"Yes, a lot",No,"Yes, a little","Yes, a little",No,"Yes, occasionally","Yes, frequently","Yes, occasionally",No,Agree,Agree,Strongly agree,No,Hispanic,16,Male,"No, not transgender",3,A one-family house attached to one or more houses,Married,Metro,Northeast,Owned or being bought by you or someone in your household,NY,Working - as a paid employee,Yes,"$125,000+"
494,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,"Yes, occasionally",No,No,"Yes, frequently",Disagree,Disagree,Agree,No,"White, Non-Hispanic",15,Female,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,MI,Not working - other,Yes,"$125,000+"
496,Almost constantly,Yes,"Yes, a little","Yes, a little","Yes, a little","Yes, a little","Yes, a little","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",13,Male,"Yes, male to female",4,A one-family house detached from any other house,Divorced,Non-Metro,Midwest,Rented for cash,OH,Not working - disabled,Yes,"under $30,000"
497,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,No,No,"Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",13,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Northeast,Rented for cash,PA,Working - as a paid employee,Yes,"50,000-$74,999"
498,Several times a day,Yes,"Yes, a lot","Yes, a little","Yes, a little","Yes, a lot","Yes, a lot","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",16,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,OH,Not working - looking for work,Yes,"50,000-$74,999"
499,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,Hispanic,13,Male,Refused,5,A building with 2 or more apartments,Never married,Metro,West,Rented for cash,CA,Not working - looking for work,Yes,"$30-49,999"
503,Almost constantly,Yes,"Yes, a lot",No,"Yes, a little","Yes, a little","Yes, a little","Yes, frequently","Yes, frequently","Yes, occasionally","Yes, frequently",Agree,Agree,Strongly agree,No,"White, Non-Hispanic",17,Female,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,IL,Working - as a paid employee,Yes,"$125,000+"
504,Several times a day,Yes,"Yes, a little",No,"Yes, a lot",No,No,No,No,No,"Yes, occasionally",Agree,Disagree,Disagree,Yes,"White, Non-Hispanic",15,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,KS,Not working - other,Yes,"$75,000-$124,999"
505,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",15,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Non-Metro,Midwest,Rented for cash,ND,Working - as a paid employee,Yes,"under $30,000"
506,Several times a day,Yes,"Yes, a lot",No,"Yes, a lot","Yes, a little","Yes, a little",No,"Yes, occasionally",No,No,Agree,Disagree,Disagree,No,"2+ Races, Non-Hispanic",16,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,CO,Not working - retired,Yes,"$75,000-$124,999"
508,Several times a day,Yes,No,No,No,No,No,No,"Yes, occasionally",No,"Yes, occasionally",Agree,Agree,Agree,No,Hispanic,16,Male,"No, not transgender",4,A one-family house detached from any other house,Living with partner,Metro,South,Owned or being bought by you or someone in your household,TX,Working - as a paid employee,Yes,"$75,000-$124,999"
509,About once a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,"Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Agree,Strongly agree,No,"White, Non-Hispanic",16,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Non-Metro,South,Owned or being bought by you or someone in your household,KY,Not working - retired,Yes,"50,000-$74,999"
